key,code,start-period-date,finish-period-date,location,instructor,contact-email,link,key:trainingModule,draft-Mode
training-session-01,TS-A-000,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-01,true
training-session-02,TS-A-001,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-02,true
training-session-03,TS-M-000,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-03,true
training-session-04,TS-O-617,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-04,true
training-session-05,TS-R-864,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-05,true
training-session-06,TS-Z-998,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-06,true
training-session-07,TS-Z-999,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-07,true
training-session-08,TS-AA-000,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-08,true
training-session-09,TS-PQ-674,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-09,true
training-session-10,TS-ZZ-999,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-10,false
training-session-11,TS-AAA-000,2019/07/13 00:00,2019/09/10 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,training-module-01,true
